Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
2014-09-30,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
2014-09-29,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
2014-09-28,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
2014-09-27,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
2014-09-24,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
2014-09-23,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
2014-09-22,10761.11,10829.75,10682.40,10739.31,3911070000,10739.31
2014-09-21,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
2014-09-20,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
2014-09-17,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
2014-09-16,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
2014-09-15,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
2014-09-14,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
2014-09-13,10458.60,10605.73,10458.45,10544.13,4521050000,10544.13
2014-09-10,10415.01,10502.80,10376.34,10462.77,3061160000,10462.77
2014-09-09,10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
2014-09-08,10338.57,10460.50,10318.93,10387.01,3224640000,10387.01
2014-09-07,10446.80,10448.99,10304.44,10340.69,3107380000,10340.69
2014-09-03,10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
2014-09-02,10270.08,10350.98,10211.80,10320.10,3704210000,10320.10
2014-09-01,10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
2014-08-31,10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
2014-08-30,10145.58,10170.10,10005.56,10009.73,2917990000,10009.73
2014-08-27,9982.40,10176.30,9925.11,10150.65,4102460000,10150.65
2014-08-26,10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
